Seção,Capítulo,Título do capítulo,Autores do capítulo (nomes completos),Autores na forma Vancouver,Página inicial,Página final,Referência Vancouver
5,50,Medicina Regenerativa no Manejo da Doença Degenerativa da Coluna,Edilson Silva Machado; Robert Meves,"Machado ES, Meves R",663,672,"Machado ES, Meves R. Medicina regenerativa no manejo da doença degenerativa da coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 663-672."
6,51,Princípios no Manejo das Neoplasias da Coluna Vertebral,Marcelo Italo Risso Neto; Guilherme Rebechi Zuiani,"Risso Neto MI, Zuiani GR",673,694,"Risso Neto MI, Zuiani GR. Princípios no manejo das neoplasias da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 673-694."
6,52,Instabilidade Vertebral em Neoplasia de Coluna,Luiz Roberto Gomes Vialle; Otávio Vitório Alvarenga Pereira,"Vialle LRG, Pereira OVA",695,700,"Vialle LRG, Pereira OVA. Instabilidade vertebral em neoplasia de coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 695-700."
6,53,Tumores Benignos e Lesões Pseudotumorais da Coluna,Alderico Girão Campos de Barros; Luis Eduardo Carelli; Gabriel Farias Alves,"Barros AGC, Carelli LE, Alves GF",701,712,"Barros AGC, Carelli LE, Alves GF. Tumores benignos e lesões pseudotumorais da coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 701-712."
6,54,Tumores Ósseos Primários Malignos,Brian Guilherme Monteiro Marta Coimbra; William Gemio Jacobsen Teixeira; Daniel Duarte Perini,"Coimbra BGMM, Teixeira WGJ, Perini DD",713,720,"Coimbra BGMM, Teixeira WGJ, Perini DD. Tumores ósseos primários malignos. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 713-720."
6,55,Tumores Metastáticos na Coluna,Marcelo Italo Risso Neto; André Frazao Rosa,"Risso Neto MI, Rosa AF",721,742,"Risso Neto MI, Rosa AF. Tumores metastáticos na coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 721-742."
6,56,"Tumores Intramedulares e Extramedulares: Classificação, Diagnóstico e Manejo",Leon Cleres Penido Pinheiro; Osmar José Santos de Moraes,"Pinheiro LCP, Moraes OJS",743,752,"Pinheiro LCP, Moraes OJS. Tumores intramedulares e extramedulares: classificação, diagnóstico e manejo. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 743-752."
6,57,Radioterapia nos Tumores de Coluna,Rodrigo de Morais Hanriot; Naira dos Santos Gutierrez,"Hanriot RM, Gutierrez NS",753,766,"Hanriot RM, Gutierrez NS. Radioterapia nos tumores de coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 753-766."
7,58,Infecção Primária da Coluna Vertebral,Edson Pudles,Pudles E,767,776,"Pudles E. Infecção primária da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 767-776."
7,59,Doenças Reumáticas da Coluna Vertebral,Carlos Eduardo Garcez Teixeira; Michel Alexandre Yazbek; Zoraida Sachetto,"Teixeira CEG, Yazbek MA, Sachetto Z",777,782,"Teixeira CEG, Yazbek MA, Sachetto Z. Doenças reumáticas da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 777-782."
7,60,Doenças Metabólicas que Afetam a Coluna,Mayra Macena Gomes; Francisco José Albuquerque de Paula,"Gomes MM, Paula FJA",783,792,"Gomes MM, Paula FJA. Doenças metabólicas que afetam a coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 783-792."
7,61,Tratamento Cirúrgico das Doenças Reumáticas da Coluna,Raphael Martus Marcon; Matheus Augusto Maciel Santiago; Henrique Griese Luciano dos Santos,"Marcon RM, Santiago MAM, Santos HGL",793,804,"Marcon RM, Santiago MAM, Santos HGL. Tratamento cirúrgico das doenças reumáticas da coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 793-804."
8,62,Endoscopia Transforaminal na Coluna Lombossacra,João Paulo Machado Bergamaschi; Marcelo Botelho Soares de Brito; Sonja Ellen Lobo,"Bergamaschi JPM, Brito MBS, Lobo SE",805,822,"Bergamaschi JPM, Brito MBS, Lobo SE. Endoscopia transforaminal na coluna lombossacra. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 805-822."
8,63,Endoscopia Interlaminar na Coluna Lombossacra,Marcio Oliveira Penna de Carvalho; Marco Aurelio Moscatelli; Rafael Barreto Silva,"Carvalho MOP, Moscatelli MA, Silva RB",823,838,"Carvalho MOP, Moscatelli MA, Silva RB. Endoscopia interlaminar na coluna lombossacra. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 823-838."
8,64,Cirurgia Endoscópica Uniportal no Segmento Torácico,Ivan Dias da Rocha; Edelvan Gabana,"Rocha ID, Gabana E",839,844,"Rocha ID, Gabana E. Cirurgia endoscópica uniportal no segmento torácico. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 839-844."
8,65,Endoscopia na Coluna Cervical pela Via Posterior,David Del Curto; Gabriela Neves Vaz; Victor Cavalcante Schussel; Tiago Ferreira Jorge,"Del Curto D, Vaz GN, Schussel VC, Jorge TF",845,852,"Del Curto D, Vaz GN, Schussel VC, Jorge TF. Endoscopia na coluna cervical pela via posterior. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 845-852."
8,66,Endoscopia na Coluna Cervical pela Via Anterior,Kelsen de Oliveira Teixeira; Rangel Roberto de Assis; Sonja Ellen Lobo; João Paulo Machado Bergamaschi,"Teixeira KO, Assis RR, Lobo SE, Bergamaschi JPM",853,862,"Teixeira KO, Assis RR, Lobo SE, Bergamaschi JPM. Endoscopia na coluna cervical pela via anterior. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 853-862."
8,67,Endoscopia Unilateral Biportal,Bernardo Drummond Braga; Walison José de Morais; Mateus Neves Faria Fernandes,"Braga BD, Morais WJ, Fernandes MNF",863,872,"Braga BD, Morais WJ, Fernandes MNF. Endoscopia unilateral biportal. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 863-872."
8,68,Artrodese Intersomática Lombar Posterior,Jean Marcel Dambrós; Alvaro Diego Heredia Suarez; Igor Ebert Cechin,"Dambrós JM, Suarez ADH, Cechin IE",873,880,"Dambrós JM, Suarez ADH, Cechin IE. Artrodese intersomática lombar posterior. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 873-880."
8,69,Artrodese Lombar em Single-Position Lateral,Cristiano Magalhães Menezes; Jefferson Soares Leal,"Menezes CM, Leal JS",881,890,"Menezes CM, Leal JS. Artrodese lombar em single-position lateral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 881-890."
8,70,Artrodese Lombar Prone Transpsoas,Luiz Pimenta; Rodrigo Amaral; Jullyene Pokorny; Gabriel Pokorny,"Pimenta L, Amaral R, Pokorny J, Pokorny G",891,898,"Pimenta L, Amaral R, Pokorny J, Pokorny G. Artrodese lombar prone transpsoas. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 891-898."
8,71,Artrodese Lombar Oblíqua,José Augusto Malheiros; Marcos Antonio Ferreira Junior,"Malheiros JA, Ferreira Junior MA",899,908,"Malheiros JA, Ferreira Junior MA. Artrodese lombar oblíqua. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 899-908."
8,72,Artrodese Lombar Anterior,Alisson Roberto Teles; Antonio Gutemberg de S. Martins; Guilherme A. Ludwig,"Teles AR, Martins AGS, Ludwig GA",909,918,"Teles AR, Martins AGS, Ludwig GA. Artrodese lombar anterior. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 909-918."
8,73,Artroplastia da Coluna,Vinicius de Meldau Benites,Benites VM,919,926,"Benites VM. Artroplastia da coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 919-926."
8,74,Técnicas Cirúrgicas para a Fixação da Coluna Cervical Alta,Geraldo de Sá Carneiro-Filho; Deoclides Lima Bezerra Júnior,"Carneiro-Filho GS, Bezerra Júnior DL",927,936,"Carneiro-Filho GS, Bezerra Júnior DL. Técnicas cirúrgicas para a fixação da coluna cervical alta. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 927-936."
8,75,Técnicas de Fixação Cervical Anterior,Jeronimo Buzetti Milano; Egon Ewaldo Lindorfer Neto,"Milano JB, Lindorfer Neto EE",937,946,"Milano JB, Lindorfer Neto EE. Técnicas de fixação cervical anterior. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 937-946."
8,76,Fixação Posterior da Coluna Cervical,Renato Henriques Tavares; Luis Antonio Medeiros Moliterno; Giancarlo Jorio Almeida,"Tavares RH, Moliterno LAM, Almeida GJ",947,954,"Tavares RH, Moliterno LAM, Almeida GJ. Fixação posterior da coluna cervical. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 947-954."
8,77,"Laminoplastia Cervical: Princípios, Técnicas e Evidências Atuais",Roger Schmidt Brock; Áquila Matos Soares,"Brock RS, Soares AM",955,966,"Brock RS, Soares AM. Laminoplastia cervical: princípios, técnicas e evidências atuais. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 955-966."
8,78,"Parafusos Pediculares na Coluna Torácica, Lombar e Lombossacra – Técnica Free-Hand",Paulo Tadeu Maia Cavali; Marcelo Italo Risso Neto,"Cavali PTM, Risso Neto MI",967,984,"Cavali PTM, Risso Neto MI. Parafusos pediculares na coluna torácica, lombar e lombossacra – técnica free-hand. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 967-984."
8,79,Fixação do Ilíaco – Técnica S2 Alar Ilíaco,Olavo Biraghi Letaif; Débora Yumi Yoshimura Orlandin Alves; Italo Gerardo Rotondo,"Letaif OB, Alves DYYO, Rotondo IG",985,990,"Letaif OB, Alves DYYO, Rotondo IG. Fixação do ilíaco – técnica S2 alar ilíaco. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 985-990."
8,80,Técnicas de Fixação na Coluna Osteoporótica,Fernando Antônio Mendes Façanha Filho; Arthur Sampaio Façanha; Paulo Henrique Carvalho Vasconcelos,"Façanha Filho FAM, Façanha AS, Vasconcelos PHC",991,1000,"Façanha Filho FAM, Façanha AS, Vasconcelos PHC. Técnicas de fixação na coluna osteoporótica. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 991-1000."
8,81,Ostetomias da Coluna Vertebral,Ricardo Acacio Dos Santos; Fernando Herrero,"Santos RA, Herrero F",1001,1010,"Santos RA, Herrero F. Ostetomias da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1001-1010."
8,82,Aplicação do Halo e Tração Craniana,Mauricio Coelho Lima; Paulo Tadeu Maia Cavali; Alexander Junqueira Rossato; Marcelo Italo Risso Neto,"Lima MC, Cavali PTM, Rossato AJ, Risso Neto MI",1011,1022,"Lima MC, Cavali PTM, Rossato AJ, Risso Neto MI. Aplicação do halo e tração craniana. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1011-1022."
8,83,Colete Gessado para Escoliose de Início Precoce,André Luis Fernandes Andujar; Rodrigo dos Santos Grandini; Cheila Mara Freu,"Andujar ALF, Grandini RS, Freu CM",1023,1032,"Andujar ALF, Grandini RS, Freu CM. Colete gessado para escoliose de início precoce. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1023-1032."
8,84,Infiltrações e Bloqueios da Coluna,Alberto Ofenhejm Gotfryd; João Tomás Fernandes Castilho Garcia,"Gotfryd AO, Garcia JTFC",1033,1042,"Gotfryd AO, Garcia JTFC. Infiltrações e bloqueios da coluna. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1033-1042."
8,85,Sistemas de Crescimento Guiado para Deformidades da Coluna: Hastes de Crescimento Tradicionais,Bruno Pinto Coelho Fontes; João Vitor Liboni Guimarães Rios,"Fontes BPC, Rios JVLG",1043,1048,"Fontes BPC, Rios JVLG. Sistemas de crescimento guiado para deformidades da coluna: hastes de crescimento tradicionais. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1043-1048."
8,86,Técnica de Fixação Bipolar da Coluna Vertebral,Alexander Junqueira Rossato; Mauricio Coelho Lima; Paulo Tadeu Maia Cavali,"Rossato AJ, Lima MC, Cavali PTM",1049,1060,"Rossato AJ, Lima MC, Cavali PTM. Técnica de fixação bipolar da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1049-1060."
8,87,Técnicas de Correção Cirúrgica das Deformidades da Coluna Vertebral,Denis Seguchi Sakai,Sakai DS,1061,1064,"Sakai DS. Técnicas de correção cirúrgica das deformidades da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1061-1064."
8,88,Vertebrectomia Torácica e Lombar nas Neoplasias,Ricardo de Souza Portes Meirelles; Christiano Esteves Simões; Gustavo Borges Laurindo de Azevedo; Paulo José Silva Ramos; Vinicius Tapie Guerra e Silva; Alessandro Gasbarrini; Otávio Vitório Alvarenga Pereira; Chiara Cini,"Meirelles RSP, Simões CE, Azevedo GBL, Ramos PJS, Silva VTG, Gasbarrini A, Pereira OVA, Cini C",1065,1078,"Meirelles RSP, Simões CE, Azevedo GBL, Ramos PJS, Silva VTG, Gasbarrini A, Pereira OVA, Cini C. Vertebrectomia torácica e lombar nas neoplasias. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1065-1078."
8,89,Sacrectomia,Christiano Esteves Simões; Otávio Vitório Alvarenga Pereira,"Simões CE, Pereira OVA",1079,1088,"Simões CE, Pereira OVA. Sacrectomia. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1079-1088."
8,90,Cirurgia Complexa dos Tumores Cervicais,Douglas Kenji Narazaki; Santiago Alexis Naranjo Tipan; Arthur Sampaio Façanha,"Narazaki DK, Tipan SAN, Façanha AS",1089,1104,"Narazaki DK, Tipan SAN, Façanha AS. Cirurgia complexa dos tumores cervicais. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1089-1104."
8,91,Técnicas Minimamente Invasivas para Tratamento e Adjuvância nos Tumores da Coluna Vertebral,Marcelo Luis Mudo; Claudio E. Tatsui,"Mudo ML, Tatsui CE",1105,1126,"Mudo ML, Tatsui CE. Técnicas minimamente invasivas para tratamento e adjuvância nos tumores da coluna vertebral. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1105-1126."
8,92,Navegação e Robótica,Helton Luiz Aparecido Defino; Vinicius Marques Carneiro; Matheus Pippa Defino,"Defino HLA, Carneiro VM, Defino MP",1127,1136,"Defino HLA, Carneiro VM, Defino MP. Navegação e robótica. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1127-1136."
9,93,Infecções Pós-Operatórias,Mauro dos Santos Volpi; Bruno da Costa Ancheschi; Sara Reis de Paula,"Volpi MS, Ancheschi BC, Paula SR",1137,1144,"Volpi MS, Ancheschi BC, Paula SR. Infecções pós-operatórias. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1137-1144."
9,94,"Lesão Dural, Aracnoidite e Fibrose Pós-Operatória",Wuilker Knoner Campos; Walterney Amancio Filho,"Campos WK, Amancio Filho W",1145,1150,"Campos WK, Amancio Filho W. Lesão dural, aracnoidite e fibrose pós-operatória. In: Pudles E, Defino H, Risso M, editores. Tratado de cirurgia da coluna vertebral. 1. ed. Rio de Janeiro: Dilivros Editora; 2026. p. 1145-1150."
